"Organization - ID","Organization - Name","Organization - Labels","Organization - Open deals","Organization - Activities to do","Organization - Industry","Organization - Odoo Status","Organization - Website ","Organization - Website","Organization - Address","Organization - Region of Address","Organization - State/county of Address","Organization - Owner","Organization - People"
"1084","ReuseIT Sweden(fka Azalea Global IT)","Prospect","0","2","IT Service Provider","","http://www.azaleait.se","","Illervägen, 352 45 Växjö, Kronoberg County, Sweden","","Kronobergs län","Lasse Schriver Nielsen","2"
"1086","AUPM Holding","Prospect","0","2","IT Service Provider","","http://www.aupm.se","","Ljungadalsgatan 17 Vxj 352 46 SWE","","Kronobergs län","Lasse Schriver Nielsen","2"
"1087","GSIT Distribution","Fresh Data","0","0","IT Service Provider","","www.gsit.se","","Källbäcksrydsgatan 9e, 507 42 Borås, Vastra Gotaland County, Sweden","","Västra Götalands län","Lasse Schriver Nielsen","1"
"1088","Tech Network Supply","Fresh Data","0","0","IT Service Provider","","http://www.technetworksupply.com","","606 8th St, 50010 Ames, Iowa, United States","Story County","Iowa","Lasse Schriver Nielsen","1"
"1089","Velocity Electronics Sweden AB","Fresh Data","0","0","","","","","Torshamnsgatan 30A, Kista, Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1091","Advania Sweden","Fresh Data","0","0","IT Service Provider","","http://www.advania.se","","Fredsborgsgatan 24, 100 73 Stockholm, , Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1092","Billigteknik","Fresh Data","0","0","Broker","","http://www.billigteknik.se","","Skiffervägen 20, 224 78 Lund, Sweden","","Skåne län","Lasse Schriver Nielsen","1"
"1093","GG Serverparts","Fresh Data","0","0","Broker","","http://www.ggsp.se","","Stationsvagen 2B, Klavrestrom 36445","","Kronobergs län","Lasse Schriver Nielsen","1"
"1094","mResell","Fresh Data","0","0","Broker","","http://www.mresell.com","","Karlbergsvägen 37, 113 62 Stockholm, Sweden","","Stockholms län","Lasse Schriver Nielsen","2"
"1095","Remade in Sweden","Fresh Data","0","0","ITAD","","http://www.remadeinsweden.com","","Svärdv 21, 18233 Danderyd, Stockholm, Sweden","","Stockholms län","Lasse Schriver Nielsen","2"
"1096","Simtech Europe AB","Fresh Data","0","0","Broker","","http://www.simtecheurope.com","","Ekmans väg 20B, Finspång, Sweden","","Östergötlands län","Lasse Schriver Nielsen","1"
"1097","CIRKULERAD","Fresh Data","0","0","Broker","","http://www.cirkulerad.se","",", 13960 Stockholm, Stockholm, Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1098","Stena Recycling","Prospect","0","0","ITAD","","https://www.stenarecycling.com/","","Fiskhamnsgatan 8,  400 40 Göteborg, , Sweden","","Västra Götalands län","Lasse Schriver Nielsen","1"
"1099","Aurdel","Fresh Data","0","0","IT Service Provider","","http://www.aurdel.com","","Glasfibergatan 8, 125 45 Älvsjö, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","2"
"1100","Urban Miners","Fresh Data","0","0","ITAD","","http://www.urbanminers.net","","Vasagatan 16, 11120 Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1101","New Forest District Council","Hot lead","0","1","","","","","","","","Daniel Ainsworth","1"
"1102","Tradesmen Technologies","Hot lead","0","1","","","","","","","","Daniel Ainsworth","1"
"1103","ScanNet","Fresh Data","0","0","IT Service Provider","","https://www.scannet.dk/?utm_term=it%20companies%20in%20denmark&utm_campaign=Outsourcing&utm_source=google&utm_medium=cpc&hsa_acc=4332538342&hsa_cam=20949195530&hsa_grp=156469215103&hsa_ad=687863039961&hsa_src=g&hsa_tgt=kwd-296418208786&hsa_kw=it%20compani","","Højvangen 4, 8660 Skanderborg, Middle Jutland, Denmark","","","Lasse Schriver Nielsen","1"
"1104","Flex IT Distribution","Fresh Data","0","0","IT Service Provider","","https://www.flexitdistribution.com","","Zaalbergweg 9 , 2314XS Leiden, ZH, Netherlands","Leiden","Zuid-Holland","Lasse Schriver Nielsen","1"
"1105","Circular IT group","Fresh Data","0","0","IT Service Provider","","https://www.circularitgroup.com","","Radonstraat 300, 2718TB Zoetermeer, Zuid Holland, Netherlands","Zoetermeer","Zuid-Holland","Lasse Schriver Nielsen","2"
"1106","illumynt","Fresh Data","0","0","IT Service Provider","","http://www.illumynt.com","","One Marina Park Drive, 02210 Boston, MA, United States","Suffolk County","Massachusetts","Lasse Schriver Nielsen","3"
"1107","Tytec","Fresh Data","0","0","IT Service Provider","","https://www.tytec.se/blog/tag/Secure+IT+Asset+Disposal+%28ITAD%29","","Esbogatan 11, 164 74 Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","2"
"1109","Total IT Global","Fresh Data","0","0","IT Service Provider","","https://www.totalitglobal.com","","3-9 Albert Street, SL1 2BE London, , United Kingdom","Berkshire","England","Lasse Schriver Nielsen","2"
"1110","Server Buyback","Fresh Data","0","0","ITAD","","https://serverbuyback.com/","","2260 Bovaird Dr E, Brampton, ON L6R 3J5, Canada","Regional Municipality of Peel","Ontario","Lasse Schriver Nielsen","0"
"1111","XDC Gruppen","Fresh Data","0","0","IT Service Provider","","https://xdc.dk","","Tigervej 27, 4600 Køge, Denmark","","","Lasse Schriver Nielsen","2"
"1112","Danoffice IT","Customer","0","0","","","","","Englandsvej 14, 5700 Svendborg, , Denmark","","","Lasse Schriver Nielsen","2"
"1113","Circular IT A/S","","0","0","","","","","","","","Lasse Schriver Nielsen","1"
"1114","Labtech Data A/S","","0","0","","","","","","","","Lasse Schriver Nielsen","2"
"1115","GreyIT","Fresh Data","0","0","IT Service Provider","","http://www.greyit.dk","","Haderslevvej 36, 6000 Kolding, South Denmark, Denmark","","","Lasse Schriver Nielsen","4"
"1117","ELDAN Recycling","Fresh Data","0","0","IT Service Provider","","https://eldan-recycling.com/","","Vaerkmestervej 4, 5600 Faaborg, Fuen, Denmark","","","Lasse Schriver Nielsen","2"
"1118","Avnet","Fresh Data","0","0","IT Service Provider","","https://www.avnet.com/","","2211 South 47th Street, 85034 Phoenix, AZ, United States","Maricopa County","Arizona","Lasse Schriver Nielsen","2"
"1119","Circular Computing","Fresh Data","0","0","IT Service Provider","","http://www.circularcomputing.com","","Railway Triangle, PO6 1TY Portsmouth, Hampshire, United Kingdom","Portsmouth","England","Lasse Schriver Nielsen","2"
"1120","Digital Realty","Fresh Data","0","0","IT Service Provider","","http://www.digitalrealty.com/","","5707 Southwest Parkway , 78735 Austin, TX, United States","Travis County","Texas","Lasse Schriver Nielsen","2"
"1121","G Ateles","Fresh Data","0","0","IT Service Provider","","http://www.ateles.se","","Kungsgatan 37, 104 22 Stockholm, Stockholm, Sweden","","Stockholms län","Lasse Schriver Nielsen","2"
"1122","Efecte","Fresh Data","0","0","IT Service Provider","","http://www.efecte.com/","","Säterinkatu 6, 02600 Espoo, Uusimaa, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","1"
"1123","Exit Technologies","Fresh Data","0","0","ITAD","","https://www.exittechnologies.com/","","2254 Trade Center Way, 34109 Naples, Florida, United States","Collier County","Florida","Lasse Schriver Nielsen","4"
"1124","European Recycling Platform - Denmark","Fresh Data","0","0","IT Service Provider","","https://erp-recycling.org/","","Lindholm Havnevej 31, 2. sal.,   5800 Nyborg, , Denmark","","","Lasse Schriver Nielsen","2"
"1125","DirSys","Fresh Data","0","0","IT Service Provider","","https://dirsys.com","","Andra Långgatan 46, 413 27 Göteborg, Västragötaland, Sweden","","Västra Götalands län","Lasse Schriver Nielsen","2"
"1126","Proact IT Group","Fresh Data","0","0","IT Service Provider","","https://www.proact.eu","","Box 1205, SE-164 28 Kista, , Sweden","","Stockholm County","Lasse Schriver Nielsen","1"
"1127","Basalt AB","Fresh Data","0","0","IT Service Provider","","https://www.basalt.se","","Östra Järnvägsgatan 27, 111 20 Stockholm, Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1128","Active Golf Sweden","","0","0","","","","","","","","Lasse Schriver Nielsen","0"
"1129","Active IT","Fresh Data","0","0","IT Service Provider","","http://www.active.se","","Prästgårdsgränd 4, 125 44 Stockholm, , Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1130","PC Aréna Kft","Fresh Data","0","0","Broker","","http://www.pcarena.hu","","Neumann János utca 4., 2142 Nagytarcsa, Pest, Hungary","","","Lasse Schriver Nielsen","3"
"1131","Maxicom IT Distribution","Fresh Data","0","0","Broker","","http://www.maxicom-it.com","","Radonstraat 300, 2718 TB ZOETERMEER, ZH, Netherlands","Zoetermeer","Zuid-Holland","Lasse Schriver Nielsen","2"
"1132","Hexagon","Fresh Data","0","0","IT Service Provider","","https://hexagon.com","","Lilla Bantorget 15, SE-103 59 Stockholm, , Sweden","","Stockholms län","Lasse Schriver Nielsen","3"
"1135","Datacom","Fresh Data","0","0","IT Service Provider","","http://www.datacom.com/","","58 Gaunt Street , 1010 Auckland, Auckland, New Zealand","","Auckland","Lasse Schriver Nielsen","1"
"1136","Svenska Telekompaniet Support","Fresh Data","0","0","IT Service Provider","","https://www.telekompaniet.se","","Industrivägen 1, 17148 Solna, Stockholm, Sweden","","Stockholms län","Lasse Schriver Nielsen","2"
"1138","7N","Fresh Data","0","0","IT Service Provider","","http://www.7n.com","","Emdrupvej 26B, 2100 Copenhagen, Capital Region, Denmark","","","Lasse Schriver Nielsen","1"
"1139","Elastx","Fresh Data","0","0","IT Service Provider","","https://elastx.se","","Katarinavägen 15,  Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","4"
"1140","Global Ewaste Solutions","Fresh Data","0","0","ITAD","","http://www.globalewaste.net/","","5878 York Rd, V9L 3S4 Duncan, B.C., Canada","Cowichan Valley","British Columbia","Lasse Schriver Nielsen","1"
"1141","CentricsIT","Fresh Data","0","0","ITAD","","http://www.centricsit.com/","","3140 Northwoods Parkway, 30071 Norcross, Georgia, United States","Gwinnett County","Georgia","Lasse Schriver Nielsen","4"
"1142","Top Gun Technology","Fresh Data","0","0","IT Service Provider","","http://www.topgun-tech.com","","860 Blue Gentian Rd, 55121 Eagan, Minnesota, United States","Dakota County","Minnesota","Lasse Schriver Nielsen","2"
"1143","BlackBelt SmartPhone Defence","Fresh Data","0","0","","","https://blackbeltdefence.com/","","Fig Flex Offices, Level 4, CV1 2TE  Coventry, United Kingdom , United Kingdom","West Midlands","England","Lasse Schriver Nielsen","2"
"1145","Evernex","Prospect","0","3","Data Centre","","http://www.evernex.com","","16 place de l’Iris, Tour CB21, 92 400 Courbevoie, 75008  Paris, France, France","Hauts-de-Seine","Île-de-France","Lasse Schriver Nielsen","3"
"1146","EPM Data","Fresh Data","0","0","","","https://epm.se","","Sankt Eriksgatan 117, 113 43 Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","3"
"1147","Prog-It","Fresh Data","0","0","IT Service Provider","","https://prog-it.net","","Rajatorpantie 8 a, 01600 Vantaa, Uusimaa, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","1"
"1148","Vantage Data Centers","Fresh Data","0","0","","","http://www.vantage-dc.com","","100 Fillmore St, 80206 Denver, Colorado, United States","Denver County","Colorado","Lasse Schriver Nielsen","2"
"1149","IT Asset Management Solutions","Fresh Data","0","0","ITAD","","http://www.itamg.com","","United Kingdom","","","Lasse Schriver Nielsen","1"
"1150","Reconext","Fresh Data","0","0","IT Service Provider","","http://www.reconext.com","","2250 William D Tate Ave, 76051 Grapevine, Texas , United States","Tarrant County","Texas","Lasse Schriver Nielsen","3"
"1151","Aktiv IT Partner Nordic","Fresh Data","0","0","","","http://www.aktivit.se","","Fallebergsvägen 29, 67134 ARVIKA, , Sweden","","Värmlands län","Lasse Schriver Nielsen","2"
"1153","iBas","Fresh Data","0","0","IT Service Provider","","http://www.info-ibas.nl","","van der cappellenstraat 29, 7514AW Enschede, Overijssel, Netherlands","Enschede","Overijssel","Lasse Schriver Nielsen","1"
"1154","Dustin","Prospect","0","0","IT Service Provider","","http://www.dustingroup.com","","Augustendalsvägen 7, 131 52 Stockholm, , Sweden","","Stockholms län","Lasse Schriver Nielsen","4"
"1155","PCL Data","Fresh Data","0","0","IT Service Provider","","https://www.pcldata.se/","","Gamla Landsvägen 10, 518 31 Sandared, Västra Götaland County, Sweden","","Västra Götalands län","Lasse Schriver Nielsen","1"
"1156","Avoki","Fresh Data","0","0","IT Service Provider","","http://www.avoki.com","","Gustav III:s Boulevard 32, 169 73 Solna, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","3"
"1157","DataNova Sweden","Fresh Data","0","0","IT Service Provider","","http://www.datanova.se","","Spadegatan 19, 42465 Angered, Gothenburg, Sweden","","Västra Götalands län","Lasse Schriver Nielsen","3"
"1158","ServeYou","Fresh Data","0","0","IT Service Provider","","http://www.serveyou.se","","Sveavägen 98,  Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1159","Axians SE","Fresh Data","0","0","IT Service Provider","","http://www.axians.se/","","Råsundavägen 4, 169 67 Solna, , Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1160","Ahlberg data","Fresh Data","0","0","","","https://www.ahlbergdata.se/english/","","Cylindervägen 12, 7 tr, 131 52 Nacka Strand, Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1161","Data Recovery Sweden","Fresh Data","0","0","","","https://www.datarecoverysweden.se","","Årsundavägen 46, 811 61 Sandviken, Sweden","","Gävleborgs län","Lasse Schriver Nielsen","1"
"1163","KGS PTE","Fresh Data","0","0","","","https://www.kgs.com.sg/services/data-erasure/","","110 Tuas South Ave 3 #02-03, 637369 Singapore, SINGAPORE, Singapore","","","Lasse Schriver Nielsen","1"
"1164","Aderian Group","Fresh Data","0","0","IT Service Provider","","https://www.aderian.se/","","Sturegatan 54, 114 36 Stockholm, , Sweden","","Stockholms län","Lasse Schriver Nielsen","1"
"1165","Canmer Data","Fresh Data","0","0","IT Service Provider","","https://www.canmer.se/","","Aminogatan 34,  Mölndal, , Sweden","","Västra Götalands län","Lasse Schriver Nielsen","2"
"1167","Navet","Fresh Data","0","0","IT Service Provider","","http://www.navet.se","","Järnvägsgatan 11, 252 24 Helsingborg, , Sweden","","Skåne län","Lasse Schriver Nielsen","1"
"1168","Aderian Göteborg","Fresh Data","0","0","IT Service Provider","","https://www.aderian.se/","","Östra Hamngatan 24, 411 09 Gothenburg, Vastra Gotaland County, Sweden","","Västra Götalands län","Lasse Schriver Nielsen","2"
"1169","Xenit","Fresh Data","0","0","IT Service Provider","","https://www.xenit.se","","Kungstorget 7, 411 17 Göteborg, , Sweden","","Västra Götalands län","Lasse Schriver Nielsen","1"
"1170","ONE IT PARTNER","Fresh Data","0","0","IT Service Provider","","https://www.oneit.se/","","Strandgatan 2, 591 36 Motala, Östergötland County, Sweden","","Östergötlands län","Lasse Schriver Nielsen","2"
"1171","CC IT Sweden","Fresh Data","0","0","IT Service Provider","","https://www.ccit.se","","Strömgatan 11, 212 25 Malmö, Skåne, Sweden","","Skåne län","Lasse Schriver Nielsen","3"
"1173","DNS IT","Fresh Data","0","0","IT Service Provider","","https://www.dnsit.se","","Schaktugnsgatan 5, 216 16 Limhamn,  Malmö, , Sweden","","Skåne län","Lasse Schriver Nielsen","1"
"1174","Consid","Fresh Data","0","0","","","http://www.consid.com","","Lillsjöraden 22, 553 20 Jönköping, Jönköping, Sweden","","Jönköpings län","Lasse Schriver Nielsen","1"
"1175","Docero AB","Fresh Data","0","0","IT Service Provider","","http://www.docero.se","","Fjärrviksvägen 14, 653 50 Skåre, Värmland, Sweden","","Värmlands län","Lasse Schriver Nielsen","2"
"1177","Tietokeskus","Fresh Data","0","0","IT Service Provider","","https://www.tietokeskus.fi","","Ruosilantie 14, 00390 Helsinki, Southern Finland, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","3"
"1178","Digia","Fresh Data","0","0","IT Service Provider","","https://digia.com/","","Atomitie 2A, 00370 Helsinki, Helsinki, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","7"
"1182","MPY","Fresh Data","0","0","","","https://www.mpy.fi","","Mikonkatu 16, 50100 Mikkeli, , Finland","Mikkeli","Etelä-Savo","Lasse Schriver Nielsen","3"
"1183","Istekki","Fresh Data","0","0","IT Service Provider","","http://www.istekki.fi","","Viestikatu 7 a, 70600 Kuopio, Northern Savonia, Finland","Kuopio","Pohjois-Savo","Lasse Schriver Nielsen","4"
"1185","Infranode Finland","Fresh Data","0","0","","","","","Kungsgatan 32, 111 35 Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","0"
"1186","Marskidata","Fresh Data","0","0","IT Service Provider","","https://www.marskidata.fi","","Vuorikatu 7, 50100 Mikkeli, Etelä-Savo, Finland","Mikkeli","Etelä-Savo","Lasse Schriver Nielsen","3"
"1187","CGI","Fresh Data","0","0","IT Service Provider","","https://cgi.com","","Boulevard West, H3G 1T4 Montreal, Quebec, Canada","Montréal","Québec","Lasse Schriver Nielsen","6"
"1188","British Heart Foundation","Hot lead","1","1","","","","","","","","Daniel Ainsworth","2"
"1189","Lounea","Fresh Data","0","0","","","http://www.lounea.fi","","Tehdaskatu 6, 24100 Salo, Finland, Finland","Salo","Varsinais-Suomi","Lasse Schriver Nielsen","2"
"1190","Netox","Fresh Data","0","0","IT Service Provider","","http://www.netox.com","","Saaristonkatu 22, 90100 Oulu, Northern Finland, Finland","Oulu","Pohjois-Pohjanmaa","Lasse Schriver Nielsen","2"
"1191","Atea Finland","Do Not Contact","0","0","IT Service Provider","","http://www.atea.fi","","Rajatorpantie 8, 01600 Vantaa, Uusimaa, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","3"
"1193","Tietoevry","Fresh Data","0","0","IT Service Provider","","https://www.tietoevry.com","",", FI-02101 Helsinki, Finland, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","5"
"1194","Gofore","Fresh Data","0","0","IT Service Provider","","http://www.gofore.com","","Peltokatu 34, 33100 Tampere, Pirkanmaa, Finland","Tampere","Pirkanmaa","Lasse Schriver Nielsen","4"
"1195","Advania Finland","Fresh Data","0","0","IT Service Provider","","https://www.advania.fi/","","Tekniikantie 14, 02150 Espoo, Uusimaa, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","6"
"1196","Solita","Fresh Data","0","0","IT Service Provider","","https://www.solita.fi/","",",  Tampere, Finland, Finland","Tampere","Pirkanmaa","Lasse Schriver Nielsen","5"
"1197","Government ICT Centre Valtori","Fresh Data","0","0","IT Service Provider","","https://valtori.fi","","Vapaudenkatu 58,  40100 Jyväskylä, , Finland","Jyväskylä","Keski-Suomi","Lasse Schriver Nielsen","6"
"1198","2M-IT","Fresh Data","0","0","","","https://www.2m-it.fi","","Joukahaisenkatu 9, 5-7 krs, 20250 Turku, Varsinais-Suomi, Finland","Turku","Varsinais-Suomi","Lasse Schriver Nielsen","2"
"1199","Decens","Fresh Data","0","0","IT Service Provider","","http://www.decens.fi","","Ruskontie 55, 33710 TAMPERE, , Finland","Tampere","Pirkanmaa","Lasse Schriver Nielsen","3"
"1200","FRENDY","Fresh Data","0","0","IT Service Provider","","https://www.frendy.fi","","Lintulahdenkuja 10, 00500 Helsinki, , Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","3"
"1201","Kuntien Tiera","Fresh Data","0","0","IT Service Provider","","http://www.tiera.fi","","Tammasaarenkatu 1, 00180 Helsinki, Southern Finland, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","6"
"1203","Siili Solutions","Fresh Data","0","0","IT Service Provider","","http://www.siili.com","","Porkkalankatu 24, 00180 Helsinki, Uusimaa, Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","2"
"1204","Enfo","Fresh Data","0","0","IT Service Provider","","http://www.enfo.fi/en","","Bertel Jungin aukio 7, Espoo - Viestikatu 7, Kuopio, 02600 Espoo, Kuopio, Tampere, , Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","2"
"1205","Bittium","Prospect","0","1","","","https://www.bittium.com","","Ritaharjuntie 1, 90590 Oulu, Oulu, Finland","Oulu","Pohjois-Pohjanmaa","Lasse Schriver Nielsen","4"
"1206","Bittium Biosignals","","0","0","","","","","","","","Lasse Schriver Nielsen","0"
"1207","Scandic IT","Customer","0","0","ITAD","","","","Denmark","","","Daniel Ainsworth","2"
"1208","Recycle IT 4U","Warm lead","0","1","","","","","","","","Daniel Ainsworth","1"
"1209","Dfind Consulting","","0","0","","","","","Stortingsgata 4, 0026 Oslo, , Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","1"
"1210","Dfind Direction","Fresh Data","0","0","IT Service Provider","","http://www.dfindconsulting.no","","Stortingsgata 4, 0026 Oslo, , Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","1"
"1211","Bouvet ASA","Fresh Data","0","0","IT Service Provider","","http://www.bouvet.no","","Sørkedalsveien 8, 0369 Oslo, Oslo, Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","3"
"1212","Sopra Steria France","Prospect","0","1","IT Service Provider","","http://www.soprasteria.com","","9 rue de Presbourg, 75016 Paris, France, France","Département de Paris","Île-de-France","Lasse Schriver Nielsen","1"
"1213","Kantega","Fresh Data","0","0","IT Service Provider","","http://www.kantega.no","","Kirkegata 5, 0153 Oslo, Oslo, Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","2"
"1214","Aboveit","Fresh Data","0","0","IT Service Provider","","http://www.aboveit.no","","Dronning Eufemias gate 8, 0191 Oslo, , Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","2"
"1215","Knowit","Prospect","0","1","IT Service Provider","","http://www.knowit.eu","","Sveavägen 20, 11157 Stockholm, Stockholm County, Sweden","","Stockholms län","Lasse Schriver Nielsen","4"
"1216","Sopra Steria","Prospect","0","1","IT Service Provider","","http://www.soprasteria.com","","9 rue de Presbourg, 75016 Paris, France, France","Département de Paris","Île-de-France","Lasse Schriver Nielsen","1"
"1217","ODA-Nettverk","Fresh Data","0","0","IT Service Provider","","http://www.odanettverk.no","","*, 0265 Bergen, Trondheim, Innlandet, Stavanger, Oslo, Norway","","Oslo","Lasse Schriver Nielsen","1"
"1219","Bekk","Fresh Data","0","0","IT Service Provider","","http://www.bekk.no","","Akershusstranda 21, Skur 39, 0150 Oslo, Oslo, Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","2"
"1220","Atea Norge","Do Not Contact","0","0","IT Service Provider","","http://www.atea.no","","Karvesvingen 5, 0579 Oslo, Oslo, Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","4"
"1222","IKT-Norge","Fresh Data","0","0","IT Service Provider","","http://www.ikt-norge.no","","Oscarsgate 20, 0352 Oslo, Oslo, Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","2"
"1223","Capgemini","Prospect","0","3","IT Service Provider","","https://www.capgemini.com","","Place de l'Étoile, 75017 Paris, France, France","Département de Paris","Île-de-France","Lasse Schriver Nielsen","3"
"1224","Cognizant","Fresh Data","0","0","IT Service Provider","","https://www.cognizant.com","","300 Frank W Burr Blvd, 07666 Teaneck, New Jersey, United States","Bergen County","New Jersey","Lasse Schriver Nielsen","5"
"1225","Miles","Fresh Data","0","0","IT Service Provider","","http://www.miles.no","","Miles As ,  Miles AS , , Norway","","Akershus","Lasse Schriver Nielsen","4"
"1227","Webstep","Fresh Data","0","0","IT Service Provider","","http://www.webstep.com","","Universitetsgaten 2, 0164 Oslo, Oslo, Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","3"
"1228","Q-Free","Fresh Data","0","0","IT Service Provider","","http://www.q-free.com","","Strindfjordveien 1, 7053 Trondheim, Ranheim, Norway","Trondheim","Trøndelag","Lasse Schriver Nielsen","3"
"1229","Cubit","Fresh Data","0","0","IT Service Provider","","http://cubit.no","","O.J. Brocks Gate 16a, 5006 Bergen, Hordaland, Norway","Bergen","Vestland","Lasse Schriver Nielsen","2"
"1231","Computas","Fresh Data","0","0","IT Service Provider","","http://www.computas.com","","Akersgata 35, 0158 Oslo, , Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","3"
"1233","Forte Digital","Fresh Data","0","0","IT Service Provider","","http://www.fortedigital.no","","Wergelandsveien 25, 0167 Oslo, , Norway","Oslo kommune","Oslo","Lasse Schriver Nielsen","2"
"1234","Cybercom Group","Prospect","0","1","IT Service Provider","","https://www.knowit.eu/","","Sveavägen 20, SE-111 57 Stockholm, , Sweden","","Stockholms län","Lasse Schriver Nielsen","3"
"1235","Netlight","Fresh Data","0","0","IT Service Provider","","http://www.netlight.com","",",  Local offices in Berlin, Copenhagen, Frankfurt, Hamburg, Helsinki, Munich, Oslo, Stockholm, Zurich, Amsterdam and Cologne., , OO","Government of Amsterdam","North Holland","Lasse Schriver Nielsen","4"
"1236","Nettools","","0","0","IT Service Provider","","nettoolsmx.com","","Morelia Mexican Restaurant & Bar, Ogletown-Stanton Road, Newark, DE, USA","New Castle County","Delaware","Lasse Schriver Nielsen","0"
"1237","Jetico","Fresh Data","0","0","Data Centre","","https://www.jetico.com","","Metsänneidonkuja 10, 02130 Espoo, , Finland","Helsinki","Uusimaa","Lasse Schriver Nielsen","1"
"1238","IT2Trust","Fresh Data","0","0","Data Centre","","http://www.it2trust.com/","","Lautruphøj 5-7, DK-2750 Ballerup, , Denmark","","","Lasse Schriver Nielsen","3"
"1239","Phiston Technologies","Fresh Data","0","0","Data Centre","","http://www.phiston.com","","9904 Premier Pkwy, 33025 Miramar, Florida, United States","Broward County","Florida","Lasse Schriver Nielsen","3"
"1240","PrivacyEngine","Prospect","0","2","","","https://www.privacyengine.io/","","77 Sir John Rogerson's Quay, D02 F540 Dublin, County Dublin, Ireland","","County Dublin","Lasse Schriver Nielsen","2"
"1241","Ontrack","Fresh Data","0","0","Data Centre","","https://www.ontrack.com/en-us","","9023 Columbine Road, 55347 Eden Prairie, Minnesota, United States","Hennepin County","Minnesota","Lasse Schriver Nielsen","3"
"1242","Galaxy CI","Fresh Data","0","0","ITAD","","http://www.galaxyci.com/","","Unit 2C, GY3 5VB Vale, Guernsey, Guernsey","","","Lasse Schriver Nielsen","3"
"1243","Kertos","Fresh Data","0","0","Data Centre","","https://kertos.io","","Nymphenburgerstraße 86, 80636 München, , Germany","Oberbayern","Bayern","Lasse Schriver Nielsen","1"
"1244","DATA TERMINATOR","Fresh Data","0","0","Data Centre","","http://data-terminator.com","","1 Bukit Batok Crescent, 658064 Singapore, Singapore, Singapore","","","Lasse Schriver Nielsen","2"
"1245","Cigent Technology","Fresh Data","0","0","Data Centre","","http://www.cigent.com","","2211 Widman Way, 33901 Fort Myers, Florida, United States","Lee County","Florida","Lasse Schriver Nielsen","2"
"1246","PlanITROI","Fresh Data","0","0","IT Service Provider","","http://www.planitroi.com","","100 Ford Road, Denville, New Jersey 07834, USA","Morris County","New Jersey","Lasse Schriver Nielsen","1"
"1247","AfB social & green IT","Fresh Data","0","0","ITAD","","http://www.afb-group.eu","","Carl-Metz Straße 4, 76275 Ettlingen, Baden-Württemberg, Germany","Karlsruhe","Baden-Württemberg","Lasse Schriver Nielsen","6"
"1248","Guardian Data Destruction","Fresh Data","0","0","Data Centre","","http://www.guardiandatadestruction.com","","80 Wesley St - Unit 3, 07606 South Hackensack, New Jersey, United States","Bergen County","New Jersey","Lasse Schriver Nielsen","5"
"1249","Second IT Store","Fresh Data","0","0","","","http://www.second-it.de","","Steinbeisweg 1, 74523 Schwäbisch Hall, , Germany","Stuttgart","Baden-Württemberg","Lasse Schriver Nielsen","1"
"1250","Second IT Store","","0","0","","","","","Steinbeisweg 1, 74523 Schwäbisch Hall, , Germany","Stuttgart","Baden-Württemberg","Lasse Schriver Nielsen","2"
